company_name,is_agency
Page Group Hong Kong,TRUE
Michael Page,TRUE
Conners Consulting Limited,TRUE
Randstad Hong Kong Limited,TRUE
Links International,TRUE
PERSOLKELLY Hong Kong Limited,TRUE
Walters People (HK),TRUE
Gravitas Recruitment Group,TRUE
Cornerstone Global Partners,TRUE
Rise Associates Asia Limited,TRUE
Same Page Recruitment Co,TRUE
ADECCO,TRUE
Hays,TRUE
Ambition,TRUE
Ignite Recruitment Hong Kong Limited,TRUE
BDO Financial Services Limited,TRUE
KeeReal Consulting Limited,TRUE
RGF HR Agent Hong Kong Limite,TRUE
Crossings Executive Search,TRUE
W Consulting Company Limited,TRUE
ConnectedGroup Limited,TRUE
Red Consultancy Services,TRUE
Nityo Infotech Services Limited,TRUE
Macleans Consulting International Limited,TRUE
Linkers International Limited,TRUE
Lindy Williams,TRUE
Global Executive Consultants Ltd.,TRUE
Terminal 1 Limited,TRUE
Manpower Services (Hong Kong) Limited,TRUE
Spring Professional (Hong Kong) Limited,TRUE
Joint Star Consultants Limited,TRUE
Tricor Staffing Solutions Limited,TRUE
IT Consulting Solutions Limited,TRUE
Leadership Solutions Limited,TRUE
Page Personnel,TRUE
Resource Solutions Consulting Hong Kong Limited,TRUE
KOS International Limited,TRUE
Streamline Consultancy Limited,TRUE
One Arrow Consulting Asia Limited,TRUE
David James Recruitment China Limited,TRUE
Pinpoint Asia Limited,TRUE
Seamatch Asia Limited,TRUE
Knight Recruitment Services Limited,TRUE
Asia Progress Executive Limited,TRUE
Spinnaker IT Limited,TRUE
Find Asia Limited,TRUE
Tasper Technologies Company Limited,TRUE
GrammyTech Ltd,TRUE
Robert Walter (HK),TRUE
KPMG,FALSE
Manulife (International) Limited,FALSE
UBS,FALSE
Protiviti Hong Kong,FALSE
Deloitte Touche Tohmatsu,FALSE
IPP Financial Advisers Holdings Limited,FALSE
BDO,FALSE
BDO Financial Services Limited,FALSE
Bloomberg,FALSE
Swiss Re Asia Pte. Ltd.,FALSE
